Race,val1_All,val2_All,val3_All,val4_All,val5_All,val6_All,val7_All,val8_All,val9_All,val10_All,val11_All,val12_All,Source_All,School_All,val1_SA,val2_SA,val3_SA,val4_SA,val5_SA,val6_SA,val7_SA,val8_SA,val9_SA,val10_SA,val11_SA,val12_SA,val13,val14,val15,val16,val17,val18,Source_SA,School_SA,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50
Am. Ind./AN,***,***,4,100,***,***,8,75,***,***,12,83,All Students,Northwestern University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,195,96,692,95,195,98,699,97,390,97,1391,96,All Students,Northwestern University,***,***,4,100,4,100,***,***,9,89,9,89,***,***,13,92,13,92,Student-Athletes,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,23,91,140,86,71,94,297,92,94,94,437,90,All Students,Northwestern University,6,100,33,91,33,91,5,80,18,83,17,88,11,91,51,88,50,90,Student-Athletes,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,67,97,748,94,86,92,853,94,153,94,1601,94,All Students,Northwestern University,0,-,6,100,***,***,0,-,3,67,***,***,0,-,9,89,***,***,Student-Athletes,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,48,90,***,***,79,94,***,***,127,92,All Students,Northwestern University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,46,85,213,84,44,95,164,98,90,90,377,90,All Students,Northwestern University,0,-,6,50,6,83,4,100,8,100,10,100,4,100,14,79,16,94,Student-Athletes,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,12,92,19,95,24,100,44,100,36,97,63,98,All Students,Northwestern University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,48,92,139,94,50,96,148,93,98,94,287,93,All Students,Northwestern University,***,***,10,100,***,***,***,***,8,88,***,***,***,***,18,94,***,***,Student-Athletes,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,527,93,1708,93,585,94,1902,94,1112,93,3610,94,All Students,Northwestern University,36,86,122,88,115,96,44,89,151,89,139,99,80,88,273,88,254,98,Student-Athletes,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,922,93,3711,93,1057,95,4194,95,1979,94,7905,94,All Students,Northwestern University,48,90,181,88,175,95,54,89,197,88,184,98,102,89,378,88,359,96,Student-Athletes,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,5,20,15,27,5,40,13,31,10,30,28,29,All Students,Oakland University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Oakland University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,34,35,130,38,53,42,167,46,87,39,297,42,All Students,Oakland University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Oakland University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,68,24,297,16,178,19,849,18,246,20,1146,18,All Students,Oakland University,***,***,10,60,11,73,***,***,7,14,5,40,***,***,17,41,16,63,Student-Athletes,Oakland University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,16,50,54,33,16,6,73,33,32,28,127,33,All Students,Oakland University,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,0,-,Student-Athletes,Oakland University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Oakland University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Oakland University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,6,83,24,58,10,60,24,67,16,69,48,63,All Students,Oakland University,***,***,10,60,8,100,***,***,5,80,6,83,***,***,15,67,14,93,Student-Athletes,Oakland University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Oakland University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Oakland University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,56,41,129,40,86,47,206,47,142,44,335,44,All Students,Oakland University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Oakland University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,662,42,2521,40,1024,49,3971,49,1686,46,6492,46,All Students,Oakland University,28,54,100,55,87,74,37,65,115,65,102,85,65,60,215,60,189,80,Student-Athletes,Oakland University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,847,40,3170,38,1372,45,5303,44,2219,43,8473,42,All Students,Oakland University,34,53,125,56,112,76,41,61,130,63,115,83,75,57,255,60,227,80,Student-Athletes,Oakland University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,0,-,14,50,0,-,15,67,0,-,29,59,All Students,Ohio University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Ohio University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,0,-,43,63,0,-,51,57,0,-,94,60,All Students,Ohio University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Ohio University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,17,24,259,45,7,71,313,58,24,38,572,52,All Students,Ohio University,14,21,38,50,52,56,5,80,15,80,13,100,19,37,53,58,65,65,Student-Athletes,Ohio University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,***,***,99,56,***,***,107,67,***,***,206,62,All Students,Ohio University,***,***,3,33,3,67,***,***,5,60,4,75,***,***,8,50,7,71,Student-Athletes,Ohio University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Ohio University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Ohio University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,0,-,12,33,0,-,25,80,0,-,37,65,All Students,Ohio University,0,-,0,-,***,***,0,-,4,100,***,***,0,-,4,100,***,***,Student-Athletes,Ohio University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Ohio University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Ohio University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Ohio University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Ohio University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,31,87,5178,62,25,80,5775,69,56,84,10953,66,All Students,Ohio University,29,90,127,68,111,81,24,83,151,71,116,91,53,87,278,69,227,86,Student-Athletes,Ohio University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,52,67,5607,61,34,79,6286,68,86,72,11893,65,All Students,Ohio University,44,68,169,63,171,73,31,84,176,72,139,92,75,75,345,68,310,81,Student-Athletes,Ohio University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,128,55,522,56,172,52,607,60,300,53,1129,58,All Students,Oklahoma State University,***,***,7,43,8,63,***,***,6,67,8,75,***,***,13,54,16,69,Student-Athletes,Oklahoma State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,26,58,108,64,23,57,86,67,49,57,194,65,All Students,Oklahoma State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Oklahoma State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,69,33,252,43,62,45,250,48,131,39,502,45,All Students,Oklahoma State University,19,37,66,33,72,51,5,40,11,55,13,69,24,38,77,36,85,54,Student-Athletes,Oklahoma State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,43,53,144,58,39,67,144,53,82,60,288,56,All Students,Oklahoma State University,***,***,4,100,6,100,***,***,0,-,3,67,***,***,4,100,9,89,Student-Athletes,Oklahoma State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Oklahoma State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Oklahoma State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,37,38,121,39,17,35,86,44,54,37,207,41,All Students,Oklahoma State University,***,***,7,29,12,58,***,***,18,33,20,95,***,***,25,32,32,81,Student-Athletes,Oklahoma State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Oklahoma State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Oklahoma State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,27,41,35,46,18,72,28,75,45,53,63,59,All Students,Oklahoma State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Oklahoma State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,1182,57,4888,59,1268,66,5319,65,2450,62,10207,62,All Students,Oklahoma State University,21,48,78,56,75,71,9,67,44,80,43,91,30,53,122,65,118,78,Student-Athletes,Oklahoma State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1512,55,6070,58,1599,64,6520,63,3111,60,12590,61,All Students,Oklahoma State University,47,45,164,47,177,62,20,50,81,65,89,87,67,46,245,53,266,70,Student-Athletes,Oklahoma State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,4,0,10,20,9,33,17,47,13,23,27,37,All Students,Old Dominion University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Old Dominion University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,61,49,160,45,62,48,180,56,123,49,340,51,All Students,Old Dominion University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Old Dominion University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,187,43,466,44,384,52,1065,56,571,49,1531,52,All Students,Old Dominion University,6,67,14,64,23,74,3,33,12,67,14,71,9,56,26,65,37,73,Student-Athletes,Old Dominion University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,64,53,127,48,67,42,174,45,131,47,301,47,All Students,Old Dominion University,4,25,7,29,5,40,0,-,0,-,0,-,4,25,7,29,5,40,Student-Athletes,Old Dominion University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,6,50,17,53,10,50,22,68,16,50,39,62,All Students,Old Dominion University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Old Dominion University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,20,40,71,46,20,60,61,62,40,50,132,54,All Students,Old Dominion University,***,***,7,29,11,82,***,***,8,63,5,100,***,***,15,47,16,88,Student-Athletes,Old Dominion University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,31,65,53,55,30,50,74,59,61,57,127,57,All Students,Old Dominion University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Old Dominion University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,75,55,1160,40,63,49,2013,48,138,52,3173,45,All Students,Old Dominion University,***,***,5,60,4,75,***,***,5,60,4,100,***,***,10,60,8,88,Student-Athletes,Old Dominion University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,738,46,1832,47,682,60,1937,56,1420,53,3769,52,All Students,Old Dominion University,16,38,64,41,80,63,19,79,76,76,73,90,35,60,140,60,153,76,Student-Athletes,Old Dominion University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1186,47,3896,45,1327,55,5543,53,2513,51,9439,50,All Students,Old Dominion University,30,43,99,43,125,66,24,75,107,74,101,89,54,57,206,59,226,76,Student-Athletes,Old Dominion University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,9,56,64,22,7,57,119,12,16,56,183,15,All Students,Oral Roberts University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Oral Roberts University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,0,-,113,10,7,71,69,23,7,71,182,15,All Students,Oral Roberts University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Oral Roberts University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,38,32,147,46,53,49,205,59,91,42,352,53,All Students,Oral Roberts University,4,25,10,30,18,61,5,80,9,78,12,83,9,56,19,53,30,70,Student-Athletes,Oral Roberts University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,4,50,71,41,14,64,96,44,18,61,167,43,All Students,Oral Roberts University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Oral Roberts University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Oral Roberts University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Oral Roberts University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,14,71,101,29,15,60,120,27,29,66,221,28,All Students,Oral Roberts University,***,***,5,100,21,76,***,***,9,67,26,88,***,***,14,79,47,83,Student-Athletes,Oral Roberts University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Oral Roberts University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Oral Roberts University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Oral Roberts University,***,***,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,Student-Athletes,Oral Roberts University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,121,52,505,55,145,59,674,53,266,56,1179,54,All Students,Oral Roberts University,5,60,26,38,41,68,12,75,39,64,38,87,17,71,65,54,79,77,Student-Athletes,Oral Roberts University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,208,48,1130,40,268,57,1384,45,476,53,2514,43,All Students,Oral Roberts University,12,58,48,46,90,68,18,72,60,67,80,88,30,67,108,57,170,77,Student-Athletes,Oral Roberts University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,9,56,57,46,20,55,78,54,29,55,135,50,All Students,Oregon State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,174,60,594,62,164,69,548,66,338,64,1142,64,All Students,Oregon State University,***,***,7,57,***,***,***,***,0,-,***,***,***,***,7,57,***,***,Student-Athletes,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,32,44,91,43,25,56,92,48,57,49,183,45,All Students,Oregon State University,12,58,40,58,45,64,3,0,13,38,8,88,15,47,53,53,53,68,Student-Athletes,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,80,50,251,51,79,56,260,56,159,53,511,53,All Students,Oregon State University,***,***,7,43,7,86,***,***,9,89,9,89,***,***,16,69,16,88,Student-Athletes,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Oregon State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,22,55,64,58,22,59,60,72,44,57,124,65,All Students,Oregon State University,0,-,***,***,4,75,0,-,***,***,12,92,0,-,***,***,16,88,Student-Athletes,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Oregon State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,141,54,494,55,134,60,401,60,275,57,895,57,All Students,Oregon State University,***,***,3,33,3,33,***,***,4,75,3,100,***,***,7,57,6,67,Student-Athletes,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,1080,59,4309,60,992,67,4142,64,2072,63,8451,62,All Students,Oregon State University,33,42,108,45,85,73,22,55,123,75,113,88,55,47,231,61,198,82,Student-Athletes,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1538,58,5860,59,1436,66,5581,63,2974,61,11441,61,All Students,Oregon State University,50,44,172,48,165,70,29,55,160,73,148,89,79,48,332,60,313,79,Student-Athletes,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,3,33,14,43,3,100,15,87,6,67,29,66,All Students,Pennsylvania State University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,188,80,813,80,147,86,708,89,335,83,1521,84,All Students,Pennsylvania State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,108,56,452,65,160,74,628,74,268,67,1080,70,All Students,Pennsylvania State University,8,75,44,70,43,91,4,75,13,77,12,83,12,75,57,72,55,89,Student-Athletes,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,152,72,514,74,163,78,536,77,315,75,1050,75,All Students,Pennsylvania State University,4,75,7,71,8,75,0,-,4,100,4,100,4,75,11,82,12,83,Student-Athletes,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Pennsylvania State University,0,-,***,***,3,100,0,-,***,***,0,-,0,-,***,***,3,100,Student-Athletes,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,148,69,427,70,92,87,268,84,240,76,695,75,All Students,Pennsylvania State University,***,***,16,75,17,100,***,***,7,86,9,89,***,***,23,78,26,96,Student-Athletes,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Pennsylvania State University,***,***,5,60,5,60,***,***,4,75,4,75,***,***,9,67,9,67,Student-Athletes,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Pennsylvania State University,***,***,20,60,21,67,***,***,8,50,7,71,***,***,28,57,28,68,Student-Athletes,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,2770,85,11918,85,2556,89,10615,90,5326,87,22533,87,All Students,Pennsylvania State University,44,75,171,76,172,85,34,85,135,89,129,98,78,79,306,82,301,90,Student-Athletes,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3369,83,14138,83,3121,87,12770,88,6490,85,26908,86,All Students,Pennsylvania State University,67,73,266,74,271,85,42,83,174,86,169,95,109,77,440,79,440,89,Student-Athletes,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,4,75,18,78,7,86,24,88,11,82,42,83,All Students,Pepperdine University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Pepperdine University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,36,83,109,83,48,79,167,81,84,81,276,82,All Students,Pepperdine University,***,***,***,***,0,-,***,***,***,***,4,75,***,***,***,***,4,75,Student-Athletes,Pepperdine University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,23,48,74,73,34,97,143,83,57,77,217,79,All Students,Pepperdine University,***,***,8,0,6,33,***,***,10,60,10,80,***,***,18,33,16,63,Student-Athletes,Pepperdine University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,37,76,122,74,28,96,142,90,65,85,264,83,All Students,Pepperdine University,***,***,6,67,5,80,***,***,4,100,6,100,***,***,10,80,11,91,Student-Athletes,Pepperdine University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,4,100,16,75,9,56,26,65,13,69,42,69,All Students,Pepperdine University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Pepperdine University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,14,57,58,55,20,85,84,81,34,74,142,70,All Students,Pepperdine University,***,***,5,40,9,100,***,***,5,80,6,100,***,***,10,60,15,100,Student-Athletes,Pepperdine University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,***,***,4,100,***,***,3,100,***,***,7,100,All Students,Pepperdine University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Pepperdine University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,45,80,***,***,62,85,***,***,107,83,All Students,Pepperdine University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Pepperdine University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,213,77,801,76,257,85,1037,85,470,81,1838,81,All Students,Pepperdine University,19,47,52,52,38,95,17,65,53,75,42,98,36,56,105,64,80,96,Student-Athletes,Pepperdine University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,339,75,1247,76,412,85,1688,84,751,80,2935,81,All Students,Pepperdine University,29,38,74,45,58,88,20,65,80,74,70,94,49,49,154,60,128,91,Student-Athletes,Pepperdine University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,4,0,32,25,9,44,26,35,13,31,58,29,All Students,Portland State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Portland State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,75,37,268,36,84,49,339,49,159,43,607,43,All Students,Portland State University,***,***,6,17,5,40,***,***,3,100,3,100,***,***,9,44,8,63,Student-Athletes,Portland State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,30,30,99,24,24,38,73,37,54,33,172,30,All Students,Portland State University,***,***,21,29,42,57,***,***,11,45,13,69,***,***,32,34,55,60,Student-Athletes,Portland State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,28,21,101,26,44,39,155,43,72,32,256,36,All Students,Portland State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Portland State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Portland State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Portland State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,36,53,116,47,21,67,66,70,57,58,182,55,All Students,Portland State University,0,-,0,-,***,***,0,-,3,33,***,***,0,-,3,33,***,***,Student-Athletes,Portland State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,14,29,14,29,16,19,16,19,30,23,30,23,All Students,Portland State University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Portland State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Portland State University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Portland State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,394,31,1454,34,463,46,1725,43,857,39,3179,39,All Students,Portland State University,17,35,61,34,55,67,22,50,93,56,81,77,39,44,154,47,136,73,Student-Athletes,Portland State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,629,33,2304,33,697,46,2638,44,1326,40,4942,39,All Students,Portland State University,23,30,91,31,110,63,26,46,116,53,103,75,49,39,207,43,213,69,Student-Athletes,Portland State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,0,-,5,20,0,-,5,20,0,-,10,20,All Students,Prairie View A&M University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Prairie View A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
